행정동명,평균공시지가,land_price_log
용산동5가,6077050.406504065,15.620030170272772
용산동6가,2973366.47634584,14.905205698898108
우면동,1999080.8306538048,14.50819854843949
우이동,1524719.496199783,14.23732167004513
운니동,7507672.185430463,15.831436146895959
원남동,4965819.804058783,15.418089159835912
원서동,4296164.145569621,15.273233356138125
원지동,744020.5180734758,13.519825235538761
원효로1가,6073311.600801311,15.619414747423134
원효로2가,6853720.49689441,15.740302346931129
원효로3가,6015457.978421352,15.60984321011925
원효로4가,4957761.837160751,15.416465156056558
월계동,2012012.6075484685,14.51464657337396
율현동,1898335.3997354,14.45648848150677
을지로1가,27151704.545454547,17.116950421724923
을지로2가,25767082.140165787,17.064608388025377
을지로3가,15975971.82652738,16.586596453182963
을지로4가,12233734.860248446,16.319707927922863
을지로5가,10642893.268647663,16.1804030226177
을지로6가,13180961.436170213,16.39428410684381
을지로7가,7695230.256898192,15.856111377681795
응봉동,2338228.2883329205,14.664904486493393
응암동,3297408.056859812,15.008647583772458
의주로1가,8824703.125,15.993065633309413
의주로2가,4658839.130434782,15.35427707607299
이문동,3482307.421787081,15.063205971432183
이촌동,7522276.868399675,15.833379558090519
이태원동,7608392.361410805,15.844762585526244
이화동,3266473.3579206183,14.999221783215482
익선동,7483322.033898305,15.828187507166996
인사동,18566839.371980675,16.736887771947615
인의동,8332221.678891606,15.935640806748985
인현동1가,9383353.741496598,16.054447905388667
인현동2가,9567815.015974442,16.073915525888008
일원동,5103701.613125604,15.445476836855818
입정동,14664552.41345685,16.500943807386996
자곡동,2324759.63842758,14.65912764048981
자양동,4865703.594255025,15.397722092355998
잠실동,8406268.881657818,15.944488399867865
잠원동,10425585.170857511,16.159773551488822
장교동,21853933.33333333,16.899891524318953
장사동,14991040.941658136,16.522963376779753
장안동,3863750.139275766,15.167149067291122
장위동,2874785.4520241744,14.871488951898064
장지동,1874938.2907415165,14.44408683859127
장충동1가,5792409.018567639,15.572059001040717
장충동2가,4010787.494033413,15.20449841188176
재동,8070436.346863468,15.903718232936724
저동1가,16038862.010221465,16.590525273240672
저동2가,14496225.448334755,16.48939892857878
적선동,11826170.454545457,16.28582555335907
전농동,3651006.953781513,15.110513839156768
정동,7062489.775051124,15.770308348248529
정릉동,2252900.7405253467,14.627729605735999
제기동,3489429.7610530835,15.065249175159977
종로1가,24859392.026578072,17.028746228084174
종로2가,38622855.53997195,17.46935479753157
종로3가,27276230.24390244,17.121526230512483
종로4가,18495473.11827957,16.733036617863597
종로5가,15119886.586067934,16.531521493904155
종로6가,7833402.267637178,15.873907618189895
종암동,2857430.9104627767,14.86543384600772
주교동,10887068.493150683,16.203086357974264
주성동,5990308.686131387,15.605653669277975
주자동,4292491.935483871,15.272378225971137
중계동,2207165.010897203,14.60721990257183
중곡동,3559113.184308477,15.085022247233779
중동,3297428.707848404,15.00865384654531
중림동,5596806.110986295,15.53770683435062
중학동,10965430.46357616,16.21025828822332
중화동,2943328.2442459115,14.895051894640144
증산동,3181673.4797297297,14.972918182121902
진관동,1044291.5432893466,13.85885022205083
창동,2739307.5343844346,14.823216086802471
창성동,4852881.588999236,15.395083434605965
창신동,4082187.8003985775,15.222143873217316
창전동,5711895.221546481,15.558061614339744
창천동,7741150.114716486,15.862060957339354
천연동,3474974.113207547,15.061097875288493
천왕동,1270458.1963129048,14.054888964983332
천호동,4706843.66808175,15.364528319643679
청담동,15953939.817359695,16.585216429866268
청량리동,3754560.2875292543,15.138482002141476
청암동,3344320.3076923075,15.022774333407094
청운동,3055944.2570081865,14.932599515825443
청진동,16238748.585286984,16.6029108937536
청파동1가,4475421.67769092,15.314111358345968
청파동2가,5090937.3020899305,15.442972713795113
청파동3가,5336713.148788927,15.490120693602295
체부동,5680213.803840166,15.552499607559762
초동,11810238.202247191,16.284477442180727
충무로1가,61088464.0,17.927833617448258
충무로2가,37838779.1262136,17.448845063948962
충무로3가,13776497.607655505,16.438474698930168
충무로4가,10278449.146250928,16.14556004264189
충무로5가,9367766.694146745,16.05278538614551
충신동,4123070.0248574354,15.232108838040162
충정로1가,9555904.214559387,16.072669868433415
충정로2가,5219936.026936027,15.467995895980694
충정로3가,4027244.545876528,15.208593212863333
태평로1가,21573609.756097563,16.886981401486164
태평로2가,23787403.01724138,16.984666755570156
토정동,2794690.1408450706,14.84323215429538
통의동,5727476.923076923,15.560785838754462
통인동,5928476.068376068,15.595277919841418
팔판동,6519635.845471818,15.690329233804347
평동,8126521.394611727,15.910643640272722
평창동,2334677.3081965167,14.663384670085058
풍납동,3701090.471256132,15.124138326344186
필동1가,8698093.131548312,15.978614494287221
필동2가,6430890.338614477,15.676623708475182
필동3가,4824012.073921971,15.389116727568316
필운동,5409459.746192893,15.50365996862589
하계동,2041214.5815899584,14.529056061686791
하왕십리동,4000762.7916666665,15.201995848772599
하월곡동,3477813.8414171613,15.061914735393874
하중동,3891680.35190616,15.174351846353083
한강로1가,11775073.705862189,16.281495542293523
한강로2가,13007937.85911896,16.38107041050645
한강로3가,11825656.354300383,16.28578208101287
한남동,7812634.797310279,15.871252954931444
합동,5024093.220338983,15.429755741002682
합정동,6034411.856650003,15.61298911807908
